,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
العالم كله مع الاسد الا قليل,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
مسكينة فقشو راسها تستاهل😂😂😂😂😂 ودي اشوف الي ضربها ولله لابوس راسهه,N,,,,,,,,,,,,,,,,,N
توقعت انزل الكومينت القى ناس فارغة تشتم ، مهما تطور العالم تضلون في الحضيض غير متعايشين مع المختلفين عنكم ، تقتلون الاحياء لاجل الاموات .. عليكم لعائن الموت يا أعداء الحياة .,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
الله محي اصلك,N,,,,,,,,,,,,,,,,,N
ههههههه من جميع الخزعبلات اللي قالتها في شيء واحد صحيح:حد يسمي بنتو موزة 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,N,,,,,,,,,,,,,,,,,N
هاي المرأه لازم نتعلم منها قوه الشخصيه والاراده ولله مثقفه وكلامها واعي  حرام تخسروها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
"كلامهااااا كلوووووو صحييييح 
واقوى مقطعين واني معاها فيهن هن 2 .1 مع ان بقيه المقاطع ايضا معاها فيهن",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
كلو كوم والفيديو الاخير كووم 😠😠 تفووو,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
الله يقوي لمصاروة ويعملولة اتلة تانية,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"ههه "" موزه ولا بطيخ هو في حد يسمي موزه""",N,,,,,,,,,,,,,,,,,N
ديس لايك لوجه رغده,N,,,,,,,,,,,,,,,,,N
ياريت كانت الطفايه قسمت دماغك نصين طظ فيكي اركبي تكاسي المال الحرام زي مبيجي بيروح بكره افكركم ان شاء الله هتموتي شحاته,P,,,,,,,,,,,,,,,,,P
هههههه احلا حاجه انها نضربت والله يبغالها,N,,,,,,,,,,,,,,,,,N
فديت المصريين يوم ضربوها,N,,,,,,,,,,,,,,,,,N
اغلب كلامها مضبوط,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"تقول عن (ام المؤمنين عائشة  راضي الله عنها وارضاها) انها كانت تربية قريش 
حسبنا الله ونعم الوكيل فيكي يا ظالمة لا بارك الله فيكي يا ويلك من الله",P,,,,,,,,,,,,,,,,,P
بيض الله وجيهكم ياللي ضربتوها ، أهينوها أكرمكم الله ، كيف تجرؤ في على سب أم المؤمنين رضي الله عنها وعلى نصرة الخائن بشار الكلب,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"اقسم بالله اللي حيلمسك لاكون دبحو 
دافع عن فنانه ولا دافع عن زوجه الرسول 
استغفر الله العظيم اللهم لا تواخذنا بما فعل السفاء منا",N,,,,,,,,,,,,,,,,,N
"بصراحة كلامه صحيح 
وكلام مضبوط و موزون 
يسلم فمك",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
هههههه رغدة انتي فله,N,,,,,,,,,,,,,,,,,N
"كل كلامها صح 
وتقول كلمة حق وتحب وطنها",N,,,,,,,,,,,,,,,,,N
تعجبني هالمره شجاعه وماتخشى لاحاكم ولادول,N,,,,,,,,,,,,,,,,,N
يعيش بشار,N,,,,,,,,,,,,,,,,,N
خوش انسانه,N,,,,,,,,,,,,,,,,,N
ربي يحفظها. ----,N,,,,,,,,,,,,,,,,,N
"احلى شي في الفيديو المقطع الاخير يوم اكلت علقه محترمه😂
مباقي يسب أم المؤمنين الي انتي يارغوه💦",P,,,,,,,,,,,,,,,,,P
قناة جميله,N,,,,,,,,,,,,,,,,,N
بطله,N,,,,,,,,,,,,,,,,,N
الفنانه رغده لم تتعدى على السيده عائشه رضي آلله عنها والذي حصل اساءه مقصوده لإثارة الفتنه والفيديو واضح وهاذه الفنانه من القليلات الاتي يتدخلن بلامر السايس لشؤون العرب وأعتقد هيه فنانه فاهمه كثير من المواضيع صح الصح وذات موقف جريء نحييها عليه هيه سوريه شجاعه هاذا رءي إنسان بسيط او ماكو داعي يطلعلي أحد يغلط ويعلق عله تعليقي وياريت لو نعرف نحترم الآخر تحياتي,N,,,,,,,,,,,,,,,,,N
أقل شي انج انطردتي يا رغدة من دولة الكويت,N,,,,,,,,,,,,,,,,,N
كلامها كله صحيح,N,,,,,,,,,,,,,,,,,N
اشتركو بقناتي والي يشترك يكتب تم,N,,,,,,,,,,,,,,,,,N
رنوها رن ههههههههههههههه,N,,,,,,,,,,,,,,,,,N
يسقط بشار الأسد و رغدة,N,,,,,,,,,,,,,,,,,N
يمهل ولا يهمل.        يارب انشوف قريب,N,,,,,,,,,,,,,,,,,N
😠أخ حسافه من هدفها كفوف عملها شلون تطاول على الكويت وعلى سيدة عائشة رضى الله عنها,P,,,,,,,,,,,,,,,,,P
حب العرب او كرهوا بس كلامها صح كل هذه الثورات السخيفة مخطط امريكي لشرق اوسط جديد مقسم عرقيا و دينياً  مشكلة العرب ما يحبوا لي يقول الحقيقة لكن انا احترم شجاعتها لانها تقول رأيها دون خوف مو متل اغلب الفنانين ينافقوا تحت شعار مع الاقوى,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
اما عن الكلام عن سيدة عائشه اني مسمعت الي كالت اصلا ياريت واحد يفهمني شنو قالت,N,,,,,,,,,,,,,,,,,N
يعني لما قتلو صدام انتهى القتل في العراق؟ لما قتلو القذافي انتهى القتل و الدم في ليبيا ؟ شالو صالح انتهى الدم في اليمن؟ والله اقسم بالله ان الامة العربية منومة مغناطيسيا والله غباء مالوش حدود و في كل مرة يعيدو نفس السيناريو والعرب ياساكتين يايقولك تحيا امريكا وحرية التعبير .....شوفو الغرب النعيم الي عايشين فيه وشوفو الخراب لي عندنا....ولو تتكلمو على الحرية كان الأولى نبتدي بالسعودية دول الخليج الي شيخ يورث شيخ وين حرية التعبير عندهم؟؟؟؟؟؟ كتلة عملاء وخونة و الدم المسلمين والعرب في رقبتهم ليوم الدين,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
هيه شنو جنسيتها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ع الرغم من كلامها ع بشار بكونه بطل لكن جزء من كلامها صحيح مثلا الكويت جزء من العراق صح وسبب كل مشاكل غزو الكويت صح ومن حكت ع اي اطفال العراق تزور قصدها انو كان صدام جامعهم مله وحده بس وراه صارت طائفيه واتبهذلنه بعد صدام هيك قصدها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
وش جنسيتها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ان كانت سوريا تعاني من بطالة فالكل بلدان تعاني منها الفقر وهم وبطالة موجودة في كل العالم نعم التغير مهم لكن ليس بهذه الطرق البشعة اظن ان هم بشار ولا هم داعش وغيرهم ضعوا يد بيد وحاربوا ثورات لغايتها الفوضى وتخدم مصالح اجنبية ورحبوا بمن لهم الافضل انا لست ضد حبكم لتغير لكن ليس بهذا الشكل,N,,,,,,,,,,,,,,,,,N
ياريت اندفست,N,,,,,,,,,,,,,,,,,N
ضحكه المذيع بالدقيقه 1:30 قتلتني هههه استهزاء,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
كل الفيديو و أما معصب و مشمئز منها آخر مقطع لما أكلت قتلة ضحكت من قلبي و مندمتش على مشاهدة الفيديو ههههههههه تستاهلي و تعيشي و تاكلي غيرها,N,,,,,,,,,,,,,,,,,N
نريد عشر فيديوهات مضحكة لأمل حمادة,N,,,,,,,,,,,,,,,,,N
مافهمت هي مرة تحكي بالهجة المصرية و مرة باللهجرة السورية!!! شو هي جنسيتها!,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
لك مجنونه هي,P,,,,,,,,,,,,,,,,,P
ياريت انفتح راسك بالنص بعد الضربه .. عليكي بالذات ما بينزعل,P,,,,,,,,,,,,,,,,,P
من حقها تدافع عن وطنها وعن رئيسها وحلو حبيها لوطنها لكن تقديس الاشخاص تقديس اعمى هنا مشكلة بحد ذاتها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
شو قالت ع عائشه,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
لم تشتم ام المسلمين هي لم تقصد عائشة رضي الله عنها انا هكذا فهمت من القصيدة,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
مو جانت تمثل شجابها ع سياسة,N,,,,,,,,,,,,,,,,,N
نريد دنيا بطمة,N,,,,,,,,,,,,,,,,,N
صار عنده بلعراق غير الانفجارات نصبح عليهن ونام عليهن ياحدايق يامدراسه اصلن المدرسه كله تعبانه بس الله كريم 😔 مروة من بغداد,N,,,,,,,,,,,,,,,,,N
رووعهه,N,,,,,,,,,,,,,,,,,N
استمر برافوووو,N,,,,,,,,,,,,,,,,,N
تقول الي تقوله إلا النبي وأهل بيته رضي الله عنهم اجمعين,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
الدم العربي في رقبتكم ☺☺ احسن حاجه سمعتها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ثامن لايك,N,,,,,,,,,,,,,,,,,N
عشاق الرسول صلى الله عليه وسلم اشتركو بقناتي,N,,,,,,,,,,,,,,,,,N
نريد شذى حسون 😧,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"حبايب فتحنا قناة ثانية جديدة اسمها تن 10 تو وبكل فيديو نستعرض فيها ١٠ فيديوهات لموضوع فني معين واول فيديو اسمه متصلين يشتمون على الهواء .. نطلب منكم كلكم تروحون للقناة تشتركون فيها وتشوفون الفيديو ولو عجبكم علقوا وتحطون لايكات وراح تكون قناة حلوة ان شاء الله وتعجبكم كثير .. ونحنا راح نبقى ننرل على هده القناة فيديوهات الشخصيات اما القناة الثانية بتكون لموضوع معين في كل فيديو
https://www.youtube.com/watch?v=RD5VqeiyeJA",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
❤ لطيفة صريحة  وكلاهما صح واحنا بكينا ع صدام كمان,N,,,,,,,,,,,,,,,,,N
مش معقول جمالها .. انا كبير بلعمر أتذكرها وأنا طفل صغير أيام ماكنت بتغني مسى ألجمال .. شو بتاكل شو بتشرب هلمره,N,,,,,,,,,,,,,,,,,N
جامدة اوى لطيفه صوتها راءع,N,,,,,,,,,,,,,,,,,N
والله  ما  بحياتي سمعت اغنيها  وما تعجبنيش بزاف,N,,,,,,,,,,,,,,,,,N
رخمه جدا لطيفه و مبحبش صوتها ابدا ابدا يعني نحب سميره سعيد عنها و انا بكيت ع موت الرئيس صدام حسين طبعا الله يرحمه يارب,P,,,,,,,,,,,,,,,,,P
لطيفه انصحك روحي إلى بيتك اغسلي الاواني,P,,,,,,,,,,,,,,,,,P
"لطيفة دى عسل و محترمة جدا 
و بعدين هى ماقلتش حاجة عيب عن فلة هى بس نفت الى فلة قالته عليها يعنى كانت بدافع عن نفسها و اعتقد ان كل الناس من حقهم انهم يدافعوا عن نفسهم 
و انا من اشد المعجبيين ب لطيفة و بصوتها الاكثر من راءع",N,,,,,,,,,,,,,,,,,N
شو  يعني معرصا,P,,,,,,,,,,,,,,,,,P
فلة سلطانة الطرب بالرغم من الكل,N,,,,,,,,,,,,,,,,,N
"اذا في معنا معجبين من لبنان يقولونا شو معنى "" معرصا"" عندكم؟",N,,,,,,,,,,,,,,,,,N
""" معرس "" غير "" معرص"" ... "" معرس""  بالتونسي يعني "" متزوج """,N,,,,,,,,,,,,,,,,,N
شكون انتي غيارة متقدريش توصلي  لفلة 123 vive  la algere,N,,,,,,,,,,,,,,,,,N
كنت احبها بس خلافها بين مستواها الحقيقي,N,,,,,,,,,,,,,,,,,N
عجايز آخر زمن,N,,,,,,,,,,,,,,,,,N
ياااا جماعة حدا يفهمني شو معناتا عرصة؟؟؟,N,,,,,,,,,,,,,,,,,N
يعني استفزك ستايل احلام ولا استفزك الإيحاء الجنسي,N,,,,,,,,,,,,,,,,,N
"أنا جزائرية احب الفن ،الموسيقى وأحب كل من يغني بإحساس و صوت جميل, لكن يا لطيفة لمادا تنكرين بأن فلة لديها صوت قوي ,جميل إحساس راق في الغناء، هل الغيرة أو الحسد ،لاتنسي , بأنها جميلة جدا.",N,,,,,,,,,,,,,,,,,N
فلة منعة من دخول مصر و انتي تمنعتي دخول كويت ههههههه غريبة هذه دنيا و تعجبني من دور,N,,,,,,,,,,,,,,,,,N
تشبه كثير نجوى كرم 😂😂,N,,,,,,,,,,,,,,,,,N
هههه ما بحبهاش من عند ربنا ثقيلة على القلب,N,,,,,,,,,,,,,,,,,N
ماشاءالله الفنانات ألسانهن  وحده أطول من ألسان الثانية والشخصيات الي جاي اتصير بالعااالي وطبعآ خلفه ألله ع ألزلم من هذا كلمه وهذاك كلمه وأتعلمن ولاننسى الفنادق الي دخلنه وشافن الرقي وصارن,N,,,,,,,,,,,,,,,,,N
اكره صوت لطيفة كثيرا مزعج,N,,,,,,,,,,,,,,,,,N
